이름,경도,위도
마마슈,127.4852197,36.67052226
카페8에이트,127.4644698,36.63154115
쉼표,127.4559177,36.65449889
빽다방청주율량주성점,127.4990829,36.66585122
칼리아,127.4824031,36.66552346
라토커피,127.4838146,36.63010346
카페;드마인,127.5193305,36.62946733
블루리프,127.4535348,36.63339455
커피마마퀸,127.4532592,36.73701562
카미나르332,127.4413702,36.60009832
카페가비스트,127.4796952,36.60945718
허브삼촌&카페,127.5089952,36.61685107
아토,127.4562268,36.74091512
카페466,127.5051407,36.58974338
드리머즈,127.4951416,36.64427672
빽다방청대,127.4883308,36.65125252
예그리나,127.5470375,36.65190751
햇비,127.4278791,36.50054415
티카페알케미,127.4882903,36.64129523
아느칸,127.4267314,36.63492636
엠에스커피숍,127.3753054,36.66410684
위,127.4601677,36.63570304
토프레소오송점,127.3297504,36.63074662
카페루멘,127.4856971,36.67351204
카페브라운,127.3835755,36.58370838
토프레소,127.4842831,36.60670819
커피향편의점,127.5062486,36.59000001
파스쿠찌청주용평로점,127.4887998,36.60512178
굿플레이스커피,127.4892028,36.63883141
브릴랑,127.4266184,36.63471951
카페고이,127.4747064,36.64532411
커피밥,127.4356111,36.61737623
솔향갤러리카페,127.5426005,36.6634802
커피앤피플,127.5115947,36.62115635
엔제리너스오송역점,127.3271466,36.62047184
하오인터내셔널,127.5180873,36.62580515
플레버,127.4212659,36.61476045
씨스네티룸,127.4747601,36.64678372
카페쉐어,127.4791059,36.69120072
에버렛,127.4427879,36.61740384
빽다방청주복대,127.440579,36.63192926
잇플레이스720,127.3620306,36.62398451
카페308,127.4114241,36.60332339
군밤카페,127.4325888,36.62865139
빌리웨어하우스,127.5094729,36.62319298
카페인충전커피배달,127.4377138,36.62747021
쏠레이,127.4874344,36.61548138
드립하우스,127.5035775,36.52968908
비닐하우스,127.5036245,36.67447387
우선쿠키당,127.4275542,36.63612192
씨리얼,127.4248617,36.62838182
메이플스토리,127.4938234,36.65324839
카페백비헌,127.4672742,36.60898388
시차,127.4872554,36.63854202
멀티피치,127.4858479,36.6423325
나무와담쟁이,127.5176466,36.62341908
사명선,127.3532799,36.60746593
카페일분,127.5000968,36.63237916
비엠디,127.456394,36.63664572
골목이야기,127.4871806,36.65331179
테이블1101,127.4647636,36.60970559
메가엠지씨커피청주,127.5044991,36.60963411
더머물다,127.4856516,36.66983565
유닛,127.4503631,36.63402836
이달의커피,127.4512331,36.62598698
오땡큐,127.4807282,36.62642132
팍스커피,127.4914472,36.63305495
마론코튼,127.4935187,36.65807067
위드,127.4913889,36.63444293
주드커피,127.4496023,36.62623645
유신,127.4763597,36.64504717
콩쥐다방,127.4863725,36.63150781
팜필리아,127.488581,36.64660168
느린다람,127.5458656,36.71557692
라온,127.5003816,36.69367239
모린,127.4874562,36.64380378
투썸플레이스청주오창중부,127.4383246,36.71351638
씨비엔유스타,127.4548241,36.63018161
에소드립,127.5058859,36.60804223
아리뜰,127.4671059,36.59590908
이오,127.3635577,36.62063665
파스쿠찌청주하나로점,127.5072944,36.60464799
점프,127.4345846,36.62568842
와우카페,127.4864009,36.64846692
메가엠지씨커피청주,127.4893063,36.60744463
미스터브리즈충북오송점,127.3292138,36.63077513
온어스가로수도서관점,127.428842,36.61831093
빽다방청주,127.4335343,36.62579137
36.5<공감>,127.3561775,36.61777531
쩐다방,127.4887799,36.63737332
읍천리382금천,127.5105746,36.62581055
메가엠지씨커피청주,127.4269064,36.64233303
카페인,127.5033151,36.61663189
멸치커피,127.445399,36.61463665
이클로카페,127.4483022,36.61603153
로얄솜사탕카페,127.467808,36.63998068
데이앤데이옥산,127.3648261,36.69520121
카페봉봉,127.5076363,36.61248638
까사베르데,127.5035775,36.52968908
투썸플레이스청주오창2,127.4504462,36.73270095
비씨팔백,127.5116997,36.60997287
687로스팅카페,127.3275579,36.62520167
컵오브커피오송연제리점,127.3259506,36.62583688
달곰,127.3261504,36.63080158
이디야청주운동점,127.517746,36.60653146
하이퍼,127.4884017,36.63769027
달,127.5102159,36.62397378
더국희,127.3206305,36.62078693
오츠,127.4314486,36.62869157
킬리만자로,127.4429681,36.62936119
키만스커피,127.4874168,36.63399967
허씨커피,127.5014119,36.60928668
디어제이,127.4736349,36.66026004
온어스,127.469677,36.64209999
아마스빈청주,127.4898751,36.60725305
트루아,127.4951333,36.64472732
달꽃다방,127.4947819,36.65797532
쿼드커피,127.4572617,36.63211872
리엠,127.4277588,36.71149125
만나꽈페,127.4866031,36.61838642
써니카페,127.4679238,36.59069731
디에떼오송동아점,127.3098376,36.61396685
동네찻집,127.4884081,36.62099232
빽다방청주중앙공원점,127.4898731,36.63343991
카페로뎀,127.382916,36.67179626
카페보스케,127.4747321,36.64951425
비씨팔백,127.4860203,36.62171397
요거프레소아이엠,127.4886215,36.62291986
카페일리터,127.4571812,36.63362392
해피도리스,127.5024301,36.61461709
카페온유,127.5119386,36.56154486
여기오송,127.3269333,36.6096678
화진다실,127.4917221,36.63409012
아르떼,127.4370805,36.63806983
다나우토바,127.4528366,36.62489954
숨블리에,127.4408472,36.61621253
토프레소,127.4247007,36.62959892
돌다리에하냥,127.3237946,36.62624827
가미향;가미,127.3737243,36.61931658
더대청호,127.4993175,36.51142276
오슬로,127.4878187,36.62502278
아르떼,127.4889548,36.67211999
하그트,127.5058008,36.76928893
이디야커피,127.5094674,36.61726357
언벌스데이,127.4583015,36.64344192
테크네클럽리포트,127.4750586,36.64439454
이디야방서점,127.5034519,36.59813107
더리플,127.4843774,36.6039143
페이스커피,127.4648892,36.63249471
쥬시후레쉬,127.4817416,36.62218191
시간과공간,127.5364024,36.72286489
더제이브로,127.5067125,36.59257528
목간,127.4875356,36.63865802
라이튼커피,127.4615932,36.63475134
미미곳간,127.4499366,36.62990279
카페목,127.466193,36.58533332
카페인중독청주점,127.429312,36.62645547
어니스트,127.4933145,36.65762997
설빙오송점,127.3296377,36.63053967
초연하다,127.4646719,36.63539719
M카페,127.5097588,36.65981354
아임일리터금천,127.5044185,36.63157696
플로리안제이,127.4349947,36.62306463
에브리앙,127.3539413,36.60544542
커피;오늘,127.4558887,36.73865462
달콤브레드,127.5108087,36.6240163
그라찌에서원대학교점,127.4821229,36.62597413
파인,127.5465683,36.65356773
에소드립,127.6053416,36.64246107
합정다방,127.4875089,36.63618904
달다,127.4650417,36.73031093
사색말차,127.4643785,36.63495678
태그원,127.4878712,36.63868368
로빈,127.4951416,36.64427672
동부창고카페C,127.4913151,36.65451133
나래상사,127.4377238,36.63516583
투썸플레이스청주메가폴리스점,127.4322641,36.62656195
빽다방청주성안,127.4894974,36.63591055
카페파스쿠찌,127.4945649,36.64502705
카페봄날,127.5035935,36.58723576
이디야커피가경,127.4429823,36.61620462
아퓨저카페,127.4235115,36.71865231
설빙,127.4275732,36.64157369
엔트라포레,127.47918,36.56952093
레스팅플레이스,127.3308745,36.62171413
토굽스커피,127.4785607,36.63567563
와이시그니처카페,127.4571525,36.63445306
매일매일봄날,127.4953373,36.60846502
카페소모스,127.4276486,36.70776101
빽다방청주금천,127.5057344,36.63104873
카페어메이징,127.4917717,36.65771745
이음카페,127.4862006,36.65753306
포레시안,127.5464919,36.65382941
내옆에너,127.3251721,36.62412685
연두커피,127.4719382,36.65348129
더브라이트모닝,127.4945617,36.65327236
온몸문화공간,127.4795398,36.65113504
할리스커피오송점,127.327191,36.62305798
스마일커피,127.4925202,36.61191001
향기나무커피,127.4956659,36.51824164
카페메르시,127.4898891,36.63243959
주,127.487538,36.65145401
해오름달열사흘,127.5202692,36.61942466
카페베네,127.4571275,36.65103392
할리스커피,127.4534974,36.63273686
워키토키,127.4314949,36.62296021
퀼트카페브릭,127.4367577,36.69968094
카페디온,127.4855423,36.63640433
알오,127.3659822,36.69359366
캠토랑커피올레,127.4970283,36.62464229
카페노빌따,127.4714369,36.618934
엉클커피,127.4354083,36.63697658
투썸플레이스산업단지점,127.4356095,36.64490578
커피사진관,127.4574422,36.63428074
햄스커피햄'scoffee,127.4647584,36.63491025
투썸플레이스,127.4587864,36.64977498
미스미스터커피,127.4703533,36.65769582
드로잉카페,127.4678033,36.64660399
세양엔지니어링,127.5107214,36.60569669
에이앤엠푸드,127.4328191,36.62585705
라피니,127.4860729,36.61228793
빈센트마퀴스,127.4452144,36.60780674
행복의나라로,127.4705048,36.65501888
커피둥둥,127.4355525,36.62683833
투데이커피,127.4335144,36.62224999
카페오라,127.4558878,36.64372152
투썸플레이스충북대,127.4597643,36.63367705
스위트빈,127.493525,36.67131717
카페코이,127.4669564,36.61189578
그리다,127.4855444,36.61000121
헬로우커피,127.4691268,36.61404997
커피하우지,127.4527962,36.62372822
유노,127.4629852,36.63381777
캔버스,127.6544031,36.63648856
로티맘,127.4715838,36.61185052
52라쁠라스,127.4297385,36.62475079
인더치,127.4403141,36.63449846
오래된음악,127.4770223,36.65093789
백비헌,127.4672742,36.60898388
에틱다락방,127.4955513,36.63666049
그래동,127.4682877,36.630571
달콤커피청주,127.4963991,36.6712061
카페아띠,127.3282821,36.63515722
어거스트나인,127.4225271,36.63079615
커피줌,127.4750625,36.64685461
또바기,127.5988806,36.72211638
모스아워,127.4870692,36.63739835
각설탕,127.3746054,36.66507325
커피·스토리,127.503143,36.6142266
아치오,127.4326931,36.6093127
하늘정원북카페,127.497164,36.62836339
커피로드,127.427864,36.71431138
다다오,127.4973957,36.5163961
성익,127.4338954,36.6243933
우민카페,127.4890601,36.64456317
레이어커피,127.4933983,36.64094978
주드커피,127.4473131,36.62477623
주성북카페,127.4466344,36.73563493
가배시광,127.5233689,36.70909981
드림펙토리,127.4774534,36.66823776
비에이치,127.4277588,36.71149125
세렌디피티,127.4931342,36.6486465
파스쿠찌,127.5038613,36.60952867
곰아저씨카페,127.4937874,36.65111287
커피모이라,127.5193402,36.62924201
코모스타,127.4875204,36.65221103
토프레소중흥로점,127.5129232,36.61919518
언니의정원,127.4915757,36.67087467
아비앙또,127.4944129,36.64574858
위크커피,127.4261339,36.62591719
베로,127.4952326,36.65848709
메이49-10,127.3554181,36.6081985
큐브,127.4661136,36.59814778
어번브라운,127.4884682,36.63583367
티케,127.5155193,36.6246268
에스뜨레,127.4991337,36.62693137
뿌리깊은카페,127.4906916,36.66552564
이성근커피,127.489863,36.6389098
커피올림#,127.4884288,36.63312143
체리쉬,127.482515,36.67091172
비앤씨,127.4956846,36.62430546
마하나임,127.420579,36.69814421
하루,127.4899629,36.63525982
풀문3,127.4212809,36.61957245
투썸플레이스청주,127.4954799,36.67089453
95번지카페,127.4864448,36.61809871
와일드플로어,127.4489431,36.61667793
카페루앤비,127.4500724,36.73196345
100커피로스팅공장,127.4282953,36.59828067
라라로시,127.4945902,36.66471653
코너피크성화점,127.4476232,36.61652069
어번브라운,127.4690714,36.63443377
아모르데이,127.4566953,36.57398872
도란,127.3560169,36.61687465
빽다방청주,127.4459467,36.62045591
커피먹고사주보고,127.5175298,36.62601483
띠아모3.10,127.4989675,36.61502814
테라스,127.4838154,36.66777955
주와,127.4978298,36.61715055
토프레소오창,127.4290303,36.71472169
카페리포소,127.4989439,36.65818324
로그아웃,127.4393284,36.63223125
새미림다실,127.4896717,36.63872135
가니쉬커피바,127.4546161,36.63284074
메가엠지씨커피,127.4595293,36.63365093
용주레인디어커피,127.4213521,36.616229
카페사운드벙커,127.4852585,36.63571162
백양카페,127.447165,36.63009345
커피트레이더스,127.4948197,36.64465653
메가엠지씨커피충북,127.4277195,36.71248262
15도,127.4468462,36.6290944
협동조합행복카페,127.4902059,36.6506771
장아찌카페,127.4829855,36.60295573
와유카페,127.4945873,36.61179331
메가엠지씨커피,127.5039763,36.63062363
데이드,127.4935133,36.65021289
담소빙스,127.4748536,36.66200337
메가엠지씨커피청주,127.4733124,36.61670077
한지공방카페,127.4884679,36.6180634
카페오늘오송생명점,127.335538,36.64274256
한국케트,127.4237051,36.51086821
70번길카페,127.4985507,36.63189002
그리너리,127.471499,36.66949602
서가랑,127.5516658,36.65010194
앗녕;초콜릿,127.4695203,36.61258859
낮달커피동남지구점,127.5164221,36.61750397
밀썸,127.4106415,36.71067744
버터패티베이커리,127.5028067,36.62097748
이디야커피청주무심천점,127.4995293,36.60507729
테이큰커피청주대,127.4940983,36.65076015
언더니스,127.5142405,36.62396549
꽃차카페고은,127.3105288,36.63021253
홍스구락부,127.4888639,36.63475069
저곡정미소카페,127.5940257,36.70945305
단미청,127.486957,36.60888705
일일일락,127.611074,36.59378905
다올재갤러리,127.4939284,36.64341667
바빈스커피청주상당점,127.5020308,36.61682654
투썸플레이스가경파크점,127.4323992,36.61873062
수다퐁당,127.3748668,36.66362161
크렘드쥬쥬베,127.4908163,36.64464606
리비에라메종청주,127.4862519,36.60518627
핸즈커피청주,127.5102562,36.66400163
하우트커피컴퍼니,127.5421055,36.72204607
사사이곤팩토리,127.4989946,36.66777098
빽다방청주오송점,127.3303085,36.63053781
법인청주농업살림,127.5035935,36.58723576
카페이씀,127.4267597,36.6177597
쥬시후레쉬,127.493762,36.65063538
이디야커피오창과학단지점,127.4277588,36.71149125
꽃차다커피다,127.4975729,36.51790929
할리스명암레이크,127.5110945,36.63852323
에그바른,127.5058854,36.63191317
바리스타진,127.4347292,36.63750172
김칠복커피,127.3267264,36.63216973
초코루나,127.5169223,36.65891758
문의에서,127.497368,36.51554914
로지니스,127.5070376,36.66101463
양지리그곳,127.4426695,36.74120061
그로우빈,127.439834,36.61101674
달달한단지,127.4772878,36.64865698
클로리스청주,127.4278289,36.64333898
콜온미,127.4329121,36.62849703
팅커커피,127.4310626,36.64368778
다락방의불빛,127.4955513,36.63666049
빙봉커피,127.4630896,36.63443915
이사프커피스탠드,127.4872673,36.63866813
카페벨보스코,127.5625243,36.69614342
투썸플레이스모충로점,127.4700274,36.62613961
소소하네,127.5004879,36.6651785
이디야커피청주여고점,127.491577,36.66932473
씨스타1407,127.4855686,36.60850523
